"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ppnr","numeric",5040,0,70,35.5,35.5,35.5,NA,20.2072021333766,NA,1,70,69,0,0,-1.20120391636588,-8.70786370294017,NA,NA
"triggerid","numeric",5040,0,72,35.5,35.5,35.5,NA,20.7846669789267,NA,0,71,71,0,0,-1.20117708340625,-8.70766918329864,NA,NA
"day","integer",5040,0,31,17.8009920634921,21,21,NA,9.60645945778603,NA,1,31,30,-0.367175815022124,-5.32246621856743,-1.28689167325546,-9.32903825776728,NA,NA
"M_nerv","numeric",3824,0.241269841269841,8,1.64147489539749,1,1,NA,1.56784506019335,NA,0,6,6,0.67561166159241,8.53140811660507,-0.475610406140767,-3.00371183943848,NA,NA
"M_nieder","numeric",3826,0.240873015873016,8,1.16675378985886,1,1,NA,1.44327252347288,NA,0,6,6,1.22325094079338,15.4508576404658,0.800492292855122,5.05681966263058,NA,NA
"M_bekuem","numeric",3825,0.241071428571429,8,1.38091503267974,1,1,NA,1.52558435863101,NA,0,6,6,0.962882225572105,12.1605574519084,0.0719666910805929,0.45456412450189,NA,NA
"M_rum2","numeric",3812,0.243650793650794,8,1.98373557187828,2,2,NA,1.74833516081626,NA,0,6,6,0.433366638798014,5.46382896413702,-0.936636231058674,-5.90603841176241,NA,NA
"M_rum1","numeric",3817,0.24265873015873,8,1.6206444851978,1,1,NA,1.57238795537994,NA,0,6,6,0.736287858328999,9.28910067202314,-0.357447372150272,-2.25539017594107,NA,NA
"M_distr2","numeric",3814,0.243253968253968,8,1.44598846355532,1,1,NA,1.73684207976505,NA,0,6,6,1.02151011668519,12.8824391972778,-0.0726948613595786,-0.45850362751534,NA,NA
"M_distr1","numeric",3812,0.243650793650794,8,1.19359916054565,1,1,NA,1.54246493100289,NA,0,6,6,1.26296973449422,15.9233544956243,0.694266701728336,4.37775699086564,NA,NA
"M_refl2","numeric",3812,0.243650793650794,8,2.66264428121721,3,3,NA,1.55441495858082,NA,0,6,6,-0.00784832457995902,-0.0989506328379725,-0.593618600477666,-3.74311193620495,NA,NA
"M_refl1","numeric",3813,0.243452380952381,8,2.29032258064516,2,2,NA,1.53889864877889,NA,0,6,6,0.219983073260586,2.77388081793985,-0.563772059973294,-3.55537770708325,NA,NA
"person_CESD","numeric",5040,0,28,1.39928571428571,1.35,1.35,NA,0.398114585232795,NA,0.65,2.85,2.2,0.702384192324238,10.181542419607,0.875731733446213,6.34842466902712,NA,NA
