"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ppnr","numeric",14098,0,200,256.189885090084,256,256,NA,95.5659540671362,NA,101,801,700,0.815385007838102,19.7643281186567,3.54052519070006,42.9128950228665,NA,NA
"triggerid","numeric",14098,0,80,38.1546318626756,38,38,NA,20.5046616841038,NA,1,80,79,0.0121175663951678,0.29372082627408,-1.16048765319476,-14.0656773090302,NA,NA
"day","integer",14098,0,31,14.0438360051071,13,13,NA,8.73820980043052,NA,1,31,30,0.288280436451529,6.98770406795225,-1.10863540224404,-13.4372026952659,NA,NA
"kwaad","numeric",12293,0.128032345013477,102,11.8693565443748,7,7,NA,16.2987290021375,NA,0,100,100,2.62341955734953,59.3805280577445,7.95865073477173,90.0784821513432,NA,NA
"droevig","numeric",12293,0.128032345013477,102,13.1065647116245,8,8,NA,17.1325027038039,NA,0,100,100,2.29895942028481,52.0364437999994,5.78121266077092,65.4335613951664,NA,NA
"angstig","numeric",12293,0.128032345013477,100,10.2737330187912,7,7,NA,13.7628438619193,NA,0,100,100,2.80500988484377,63.4907854150087,9.96243876914841,112.757977797643,NA,NA
"depressief","numeric",12293,0.128032345013477,101,12.6169364679086,8,8,NA,16.7225087884924,NA,0,100,100,2.32243335478026,52.5677711746192,5.9319131580371,67.1392364531108,NA,NA
"Rumi_past","numeric",12293,0.128032345013477,101,18.3484096640364,10,10,NA,22.2787395450239,NA,0,100,100,1.64258029985475,37.1794459294062,1.97978627972302,22.4078363286311,NA,NA
"Rumi_future","numeric",12293,0.128032345013477,102,31.1211258439762,21,21,NA,28.5802611033039,NA,0,100,100,0.654950196920527,14.8246544993958,-0.814661362568357,-9.22059045597853,NA,NA
"Dist","numeric",12293,0.128032345013477,102,24.3603676889287,12,12,NA,27.0501931446922,NA,0,100,100,1.19031583594311,26.9425386784902,0.348879616474562,3.94872791291961,NA,NA
"Reap","numeric",12293,0.128032345013477,100,15.0882616122997,9,9,NA,17.8644588505227,NA,0,100,100,1.7486118702321,39.5794473406024,2.92797379961353,33.1397173261747,NA,NA
"Supp","numeric",12293,0.128032345013477,102,20.1410558854633,10,10,NA,24.6013239286266,NA,0,100,100,1.59725343723925,36.1534823050332,1.71683834060769,19.4317098431644,NA,NA
"Sosu","numeric",12293,0.128032345013477,102,18.0190352232978,10,10,NA,21.4671885520167,NA,0,100,100,1.58125286283775,35.7913128020551,1.8583197666864,21.0330405886006,NA,NA
"person_CESD","numeric",14098,0,23,0.923943112498227,0.9,0.9,NA,0.230804223652184,NA,0.5,1.7,1.2,0.765850619885391,18.5636512761306,0.376306870370986,4.56102311234243,NA,NA
